poet,line1,line2,line3,line4,line5
Emperor Tenchi,"Coarse the rush-mat roof","Sheltering the harvest-hut","Of the autumn rice-field;","And my sleeves are growing wet","With the moisture dripping through."
Empress Jito,"The spring has passed","And the summer come again;","For the silk-white robes,","So they say, are spread to dry","On the Mount of Heaven's Perfume."
Kakinomoto no Hitomaro,"Oh, the foot-drawn trail","Of the mountain-pheasant's tail","Drooped like down-curved branch!","Through this long, long-dragging night","Must I lie in bed alone?"
Yamabe no Akahito,"When I take the path","To Tago's coast, I see","Perfect whiteness laid","On Mount Fuji's lofty peak","By the drift of falling snow."
Sarumaru,"In the mountain depths,","Treading through the crimson leaves,","The wandering stag calls.","When I hear the lonely cry,","Sad--how sad!--the autumn is."
Otomo no Yakamochi,"If I see that bridge","That is spanned by flights of magpies","Across the arc of heaven","Made white with a deep-laid frost,","Then the night is almost past."
Abe no Nakamaro,"When I look up at","The wide-stretched plain of heaven,","Is the moon the same","That rose on Mount Mikasa","In the land of Kasuga?"
The Monk Kisen,"My lowly hut is","Southeast from the capital.","Thus I choose to live.","And the world in which I live","Men have named a Mount of Gloom."
Ono no Komachi,"Color of the flower","Has already faded away,","While in idle thoughts","My life passes vainly by,","As I watch the long rains fall."
Semimaru,"Truly, this is where","Travelers who go or come","Over parting ways--","Friends or strangers--all must meet:","The gate of Meeting Hill."
Ono no Takamura,"Over the wide sea","Towards its many distant isles","My ship sets sail.","Will the fishing boats thronged here","Proclaim my journey to the world?"
The Monk Henjo,"Let the winds of heaven","Blow through the paths among the clouds","And close their gates.","Then for a while I could detain","These messengers in maiden form."
Emperor Yozei ,"From Tsukuba's peak","Falling waters have become","Mina's still, full flow:","So my love has grown to be","Like the river's quiet deeps."
Minamoto no Toru,"Like Michinoku prints","Of the tangled leaves of ferns,","It is because of you","That I have become confused;","But my love for you remains."
Emperor Koko,"It is for your sake","That I walk the fields in spring,","Gathering green herbs,","While my garment's hanging sleeves","Are speckled with falling snow."
Ariwara no Yukihira,"Though we are parted,","If on Mount Inaba's peak","I should hear the sound","Of the pine trees growing there,","I'll come back again to you."
Ariwara no Narihira,"Even when the gods","Held sway in the ancient days,","I have never heard","That water gleamed with autumn red","As it does in Tatta's stream"
Fujiwara no Toshiyuki,"The waves are gathered","On the shore of Sumi Bay,","And in the gathered night,","When in dreams I go to you,","I hide from people's eyes."
Lady Ise,"Even for a time","Short as a piece of the reeds","In Naniwa's marsh,","We must never meet again:","Is this what you are asking me?"
Prince Motoyoshi,"In this dire distress","My life is meaningless.","So we must meet now,","Even though it costs my life","In the Bay of Naniwa."
The Monk Sosei,"Just because she said,","In a moment I will come,","I've awaited her","Until the moon of daybreak,","In the long month, has appeared."
