poet,line1,line2,line3,line4,line5
天智天皇,"秋の田の","かりほの庵の","苫をあらみ","わが衣手は","露にぬれつつ"
持統天皇,"春過ぎて","夏来にけらし","白妙の","衣ほすてふ","天の香具山"
柿本人麿,"あしびきの","山鳥の尾の","しだり尾の","ながながし夜を","ひとりかもねむ"
山辺赤人,"田子の浦に","打ち出でてみれば","白妙の","富士の高嶺に","雪はふりつつ"
猿丸大夫,"奥山に","紅葉ふみわけ","鳴く鹿の","声きく時ぞ","秋は悲しき"
中納言家持,"かささぎの","渡せる橋に","置く霜の","白きを見れば","夜ぞふけにける"
安倍仲麿,"天の原","ふりさけ見れば","春日なる","三笠の山に","出でし月かも"
喜撰法師,"わが庵は","都のたつみ","しかぞすむ","世をうぢ山と","人はいふなり"
小野小町,"花の色は","うつりにけりな","いたづらに","わが身世にふる","ながめせしまに"
蝉丸,"これやこの","行くも帰るも","別れては","知るも知らぬも","逢坂の関"
参議篁,"わたの原","八十島かけて","こぎ出ぬと","人には告げよ","あまのつり舟"
僧正遍昭,"天つ風","雲のかよひ路","吹きとぢよ","乙女のすがた","しばしとどめむ"
陽成院,"筑波嶺の","峰より落つる","みなの川","恋ぞつもりて","淵となりぬる"
河原左大臣,"みちのくの","しのぶもぢずり","誰故に","乱れそめにし","我ならなくに"
光孝天皇,"君がため","春の野に出でて","若菜つむ","わが衣手に","雪はふりつつ"
中納言行平,"立ち別れ","いなばの山の","峰に生ふる","まつとしきかば","今かへりこむ"
在原業平朝臣,"千早ぶる","神代もきかず","龍田川","からくれないに","水くくるとは"
藤原敏行朝臣,"住の江の","岸による波","よるさへや","夢の通ひ路","人目よくらむ"
伊勢,"難波潟","みじかき芦の","ふしのまも","あはでこの世を","過ぐしてよとや"
元良親王,"わびぬれば","今はた同じ","難波なる","身をつくしても","逢はむとぞ思ふ"
素性法師,"今来むと","いひしばかりに","長月の","有明の月を","待ち出でつるかな"
文屋康秀,"吹くからに","秋の草木の","しをるれば","むべ山風を","あらしといふらむ"
大江千里,"月見れば","千々に物こそ","悲しけれ","わが身ひとつの","秋にはあらねど"
菅家,"このたびは","幣もとりあへず","手向山","紅葉のにしき","神のまにまに"
三条右大臣,"名にしおはば","逢坂山の","さねかづら","人にしられで","くるよしもがな"
貞信公,"小倉山","峰のもみじ葉","心あらば","今ひとたびの","みゆきまたなむ"
中納言兼輔,"みかの原","わきてながるる","泉川","いつ見きとてか","恋しかるらむ"
源宗于朝臣,"山里は","冬ぞさびしさ","まさりける","人めも草も","かれぬとおもへば"
凡河内躬恒,"心あてに","折らばや折らむ","初霜の","おきまどはせる","白菊の花"
壬生忠岑,"有明の","つれなくみえし","別れより","暁ばかり","うきものはなし"
坂上是則,"朝ぼらけ","有明の月と","みるまでに","吉野の里に","ふれる白雪"
春道列樹,"山川に","風のかけたる","しがらみは","流れもあへぬ","紅葉なりけり"
紀友則,"久方の","光のどけき","春の日に","しづ心なく","花のちるらむ"
藤原興風,"誰をかも","知る人にせむ","高砂の","松もむかしの","友ならなくに"
紀貫之,"人はいさ","心も知らず","ふるさとは","花ぞむかしの","香に匂ひける"
清原深養父,"夏の夜は","まだ宵ながら","明けぬるを","雲のいづくに","月やどるらむ"
文屋朝康,"白露を","風のふきしく","秋の野は","つらぬきとめぬ","玉ぞちりける"
右近,"忘らるる","身をば思はず","誓ひてし","人の命の","惜しくもあるかな"
参議等,"浅茅生の","小野の篠原","忍ぶれど","あまりてなどか","人の恋しき"
平兼盛,"忍ぶれど","色に出でにけり","わが恋は","物や思ふと","人の問ふまで"
壬生忠見,"恋すてふ","我が名はまだき","立ちにけり","人しれずこそ","思ひそめしか"
清原元輔,"ちぎりきな","かたみに袖を","しぼりつつ","末の松山","波こさじとは"
権中納言敦忠,"逢ひ見ての","後の心に","くらぶれば","むかしは物を","思はざりけり"
中納言朝忠,"逢ふことの","絶えてしなくは","中々に","人をも身をも","恨みざらまし"
謙徳公,"あはれとも","いふべき人は","思ほえで","身のいたづらに","なりぬべきかな"
曽禰好忠,"由良のとを","わたる舟人","かぢをたえ","行く方もしらぬ","恋の道かな"
恵慶法師,"八重むぐら","しげれる宿の","さびしきに","人こそ見えね","秋は来にけり"
源重之,"風をいたみ","岩うつ波の","おのれのみ","くだけて物を","おもふ頃かな"
大中臣能宣朝臣,"みかき守","衛士のたく火の","夜はもえ","昼は消えつつ","物をこそおもへ"
藤原義孝,"君がため","惜しからざりし","命さへ","ながくもがなと","おもひけるかな"
藤原実方朝臣,"かくとだに","えやはいぶきの","さしも草","さしも知らじな","もゆる思ひを"
藤原道信朝臣,"明けぬれば","暮るるものとは","知りながら","なをうらめしき","あさぼらけかな"
右大将道綱母,"なげきつつ","ひとりぬる夜の","明くる間は","いかに久しき","ものとかは知る"
儀同三司母,"忘れじの","行末までは","難ければ","今日を限りの","命ともがな"
大納言公任,"滝の音は","絶えて久しく","なりぬれど","名こそ流れて","なほ聞えけれ"
和泉式部,"あらざらむ","この世の外の","思ひ出に","今ひとたびの","逢ふこともがな"
紫式部,"めぐりあひて","見しやそれとも","わかぬ間に","雲がくれにし","夜半の月かげ"
大弐三位,"ありま山","猪名の笹原","風吹けば","いでそよ人を","忘れやはする"
赤染衛門,"やすらはで","寝なまし物を","小夜更けて","かたぶくまでの","月を見しかな"
小式部内侍,"大江山","いく野の道の","とほければ","まだふみも見ず","天の橋立"
伊勢大輔,"いにしへの","奈良の都の","八重桜","今日九重に","匂ひぬるかな"
清少納言,"夜をこめて","鳥の空音は","はかるとも","よにあふさかの","関はゆるさじ"
左京大夫道雅,"今はただ","思ひ絶えなむ","とばかりを","人づてならで","いふよしもがな"
権中納言定頼,"朝ぼらけ","宇治の川ぎり","たえだえに","あらはれわたる","ぜぜの網代木"
相模,"恨みわび","ほさぬ袖だに","あるものを","恋に朽ちなん","名こそ惜しけれ"
大僧正行尊,"もろともに","哀れと思へ","山桜","花より外に","知る人もなし"
周防内侍,"春の夜の","夢ばかりなる","手枕に","かひなく立たむ","名こそ惜しけれ"
三条院,"心にも","あらで浮世に","ながらへば","恋しかるべき","夜半の月かな"
能因法師,"あらし吹く","三室の山の","もみぢ葉は","龍田の川の","にしきなりけり"
良暹法師,"寂しさに","宿を立出て","ながむれば","いづこもおなじ","秋の夕暮"
大納言経信,"夕されば","門田の稲葉","おとづれて","あしのまろやに","秋風ぞふく"
祐子内親王家紀伊,"音にきく","高師の浜の","あだ浪は","かけじや袖の","ぬれもこそすれ"
権中納言匡房,"高砂の","尾の上の桜","咲きにけり","外山の霞","たたずもあらなん"
源俊頼朝臣,"うかりける","人をはつせの","山おろしよ","はげしかれとは","祈らぬものを"
藤原基俊,"契りをきし","させもが露を","命にて","あはれことしの","秋もいぬめり"
法性寺入道関白太政大臣,"わたの原","こぎ出でて見れば","久方の","雲井にまよふ","おきつしらなみ"
崇徳院御製,"瀬をはやみ","岩にせかるる","滝川の","われても末に","逢はむとぞ思ふ"
源兼昌,"淡路島","かよふ千鳥の","なく声に","いくよねざめぬ","すまの関守"
左京大夫顕輔,"秋風に","たなびく雲の","たえまより","もれ出づる月の","かげのさやけさ"
待賢門院堀河,"長からむ","心もしらず","黒髪の","みだれてけさは","物をこそ思へ"
後徳大寺左大臣,"ほととぎす","鳴きつる方を","眺むれば","ただ有明の","月ぞのこれる"
道因法師,"思ひわび","さても命は","あるものを","憂きに堪へぬは","なみだなりけり"
皇太后宮大夫俊成,"世の中よ","道こそなけれ","思ひ入る","山のおくにも","鹿ぞ鳴くなる"
藤原清輔朝臣,"ながらへば","またこの頃や","しのばれむ","憂しと見し世ぞ","今は恋しき"
俊恵法師,"夜もすがら","物思ふ頃は","明けやらぬ","ねやのひまさへ","つれなかりけり"
西行法師,"なげけとて","月やは物を","思はする","かこちがほなる","わがなみだかな"
寂蓮法師,"むらさめの","露もまだひぬ","まきの葉に","霧立ちのぼる","秋の夕暮"
皇嘉門院別当,"難波江の","芦のかりねの","一夜ゆへ","身をつくしてや","恋わたるべき"
式子内親王,"玉の緒よ","絶えなば絶えね","ながらへば","しのぶることの","よはりもぞする"
殷富門院大輔,"見せばやな","雄島のあまの","袖だにも","ぬれにぞぬれし","色はかはらず"
後京極摂政太政大臣,"きりぎりす","鳴くや霜夜の","さむしろに","衣かたしき","ひとりかも寝む"
二条院讃岐,"わが袖は","潮干に見えぬ","沖の石の","人こそしらね","かはくまもなし"
鎌倉右大臣,"世の中は","つねにもがもな","なぎさこぐ","あまの小舟の","綱手かなしも"
