poet,line1,line2,line3,line4,line5
Tenchi Tenno,"Aki no ta no","Kariho no io no","Toma o arami","Waga koromode wa","Tsuyu ni nure tsutsu"
Jito Tenno,"Haru sugite","Natsu ki ni kerashi","Shirotae no","Koromo hosu cho","Ama no Kaguyama"
Kakinomoto no Hitomaro,"Ashibiki no","Yamadori no o no","Shidari o no","Naganagashi yo o","Hitori ka mo nen"
Yamabe no Akahito,"Tago no Ura ni","Uchi idete mireba","Shirotae no","Fuji no takane ni","Yuki wa furi tsutsu"
Sarumaru Dayu,"Okuyama ni","Momiji fumiwake","Naku shika no","Koe kiku toki zo","Aki wa kanashiki"
Chunagon Yakamochi,"Kasasagi no","Wataseru hashi ni","Oku shimo no","Shiroki o mireba","Yo zo fuke ni keru"
Abe no Nakamaro,"Ama no hara","Furisake mireba","Kasuga naru","Mikasa no yama ni","Ideshi tsuki kamo"
Kisen Hoshi ,"Waga io wa","Miyako no tatsumi","Shika zo sumu","Yo o Ujiyama to","Hito wa iu nari"
Ono no Komachi,"Hana no iro wa","Utsuri ni keri na","Itazura ni","Waga mi yo ni furu","Nagame seshi ma ni"
Semimaru,"Kore ya kono","Yuku mo kaeru mo","Wakarete wa","Shiru mo shiranu mo","Osaka no seki"
Sangi Takamura,"Wata no hara","Yasoshima kakete","Kogi idenu to","Hito ni wa tsugeyo","Ama no tsuri bune"
Sojo Henjo,"Ama tsu kaze","Kumo no kayoiji","Fuki toji yo","Otome no sugata","Shibashi todomen"
Yozei In ,"Tsukuba ne no","Mine yori otsuru","Minano-gawa","Koi zo tsumorite","Fuchi to nari nuru"
Kawara no Sadaijin,"Michinoku no","Shinobu moji-zuri","Tare yue ni","Midare some ni shi","Ware naranaku ni"
Koko Tenno,"Kimi ga tame","Haru no no ni idete","Wakana tsumu","Waga koromode ni","Yuki wa furi tsutsu"
Chunagon Yukihira,"Tachi wakare","Inaba no yama no","Mine ni oru","Matsu to shi kikaba","Ima kaeri kon"
Ariwara no Narihira Ason,"Chihayaburu","Kamiyo mo kikazu","Tatsuta-gawa","Kara kurenai ni","Mizu kukuru to wa"
Fujiwara no Toshiyuki Ason,"Sumi no e no","Kishi ni yoru nami","Yoru sae ya","Yume no kayoi ji","Hito me yoku ran"
Ise,"Naniwa gata","Mijikaki ashi no","Fushi no ma mo","Awade kono yo o","Sugushite yo to ya"
Motoyoshi Shinno,"Wabi nureba","Ima hata onaji","Naniwa naru","Mi o tsukushite mo","Awan to zo omou"
Sosei Hoshi,"Ima kon to","Iishi bakari ni","Nagatsuki no","Ariake no tsuki o","Machi idetsuru kana"
Fun'ya no Yasuhide,"Fuku kara ni","Aki no kusaki no","Shiorureba","Mube yama kaze o","Arashi to iuran"
Oe no Chisato,"Tsuki mireba","Chiji ni mono koso","Kanashi kere","Waga mi hitotsu no","Aki ni wa aranedo"
Kan Ke,"Kono tabi wa","Nusa mo toriaezu","Tamukeyama","Momiji no nishiki","Kami no mani mani"
Sanjo Udaijin,"Na ni shi owaba","Osakayama no","Sanekazura","Hito ni shirarede","Kuru yoshi mo gana"
Teishin Ko,"Ogurayama","Mine no momijiba","Kokoro araba","Ima hitotabi no","Miyuki matanan"
Chunagon Kanesuke,"Mika no Hara","Wakite nagaruru","Izumi-gawa","Itsu mi kitote ka","Koishi karuran"
Minamoto no Muneyuki Ason,"Yama-zato wa","Fuyu zo sabishisa","Masari keru","Hitome mo kusa mo","Karenu to omoeba"
Oshikochi no Mitsune,"Kokoroate ni","Orabaya oran","Hatsushimo no","Oki madowaseru","Shiragiku no hana"
Mibu no Tadamine,"Ariake no","Tsurenaku mieshi","Wakare yori","Akatsuki bakari","Uki mono wa nashi"
Sakanoue no Korenori,"Asaborake","Ariake no tsuki to","Miru made ni","Yoshino no sato ni","Fureru shirayuki"
Harumichi no Tsuraki,"Yama kawa ni","Kaze no kaketaru","Shigarami wa","Nagare mo aenu","Momiji nari keri"
Ki no Tomonori,"Hisakata no","Hikari nodokeki","Haru no hi ni","Shizu-gokoro naku","Hana no chiruran"
Fujiwara no Okikaze,"Tare o ka mo","Shiru hito ni sen","Takasago no","Matsu mo mukashi no","Tomo nara naku ni"
Ki no Tsurayuki,"Hito wa isa","Kokoro mo shirazu","Furusato wa","Hana zo mukashi no","Ka ni nioi keru"
Kiyohara no Fukayabu,"Natsu no yo wa","Mada yoi nagara","Akenuru o","Kumo no izuko ni","Tsuki yadoruran"
Fun'ya no Asayasu,"Shiratsuyu o","Kaze no fukishiku","Aki no no wa","Tsuranuki tomenu","Tama zo chiri keru"
Ukon,"Wasuraruru","Mi o ba omowazu","Chikaite shi","Hito no inochi no","Oshiku mo aru kana"
Sangi Hitoshi,"Asajiu no","Ono no shinohara","Shinoburedo","Amarite nado ka","Hito no koishiki"
Taira no Kanemori,"Shinoburedo","Iro ni ide ni keri","Waga koi wa","Mono ya omou to","Hito no tou made"
Mibu no Tadami,"Koisu cho","Waga na wa madaki","Tachi ni keri","Hito shirezu koso","Omoi someshi ka"
Kiyohara no Motosuke,"Chigiriki na","Katami ni sode o","Shibori tsutsu","Sue no Matsuyama","Nami kosaji to wa"
Gon Chunagon Atsutada,"Ai mite no","Nochi no kokoro ni","Kurabureba","Mukashi wa mono o","Omowazari keri"
Chunagon Asatada,"Au koto no","Taete shi nakuwa","Nakanaka ni","Hito o mo mi o mo","Urami zaramashi"
Kentoku Ko,"Aware to mo","Iu beki hito wa","Omooede","Mi no itazura ni","Narinu beki kana"
Sone no Yoshitada,"Yura no to o","Wataru funabito","Kaji o tae","Yukue mo shiranu","Koi no michi kana"
Egyo Hoshi,"Yaemugura","Shigereru yado no","Sabishiki ni","Hito koso miene","Aki wa ki ni keri"
Minamoto no Shigeyuki,"Kaze o itami","Iwa utsu nami no","Onore nomi","Kudakete mono o","Omou koro kana"
Onakatomi no Yoshinobu Ason,"Mikakimori","Eji no taku hi no","Yoru wa moe","Hiru wa kie tsutsu","Mono o koso omoe"
Fujiwara no Yoshitaka,"Kimi ga tame","Oshi karazarishi","Inochi sae","Nagaku mo gana to","Omoi keru kana"
Fujiwara no Sanekata Ason,"Kaku to dani","Eyawa ibuki no","Sashimogusa","Sashimo shiraji na","Moyuru omoi o"
Fujiwara no Michinobu Ason,"Akenureba","Kururu mono to wa","Shiri nagara","Nao urameshiki","Asaborake kana"
Udaisho Michitsuna no Haha,"Nageki tsutsu","Hitori nuru yo no","Akuru ma wa","Ikani hisashiki","Mono to ka wa shiru"
Gido Sanshi no Haha,"Wasureji no","Yukusue made wa","Katakereba","Kyo o kagiri no","Inochi to mo gana"
Dainagon Kinto,"Taki no oto wa","Taete hisashiku","Narinuredo","Na koso nagarete","Nao kikoe kere"
Izumi Shikibu,"Arazaran","Kono yo no hoka no","Omoide ni","Ima hitotabi no","Au koto mo gana"
Murasaki Shikibu,"Meguri aite","Mishi ya sore to mo","Wakanu ma ni","Kumo-gakure ni shi","Yowa no tsuki kage"
Daini no Sanmi,"Arimayama","Ina no sasawara","Kaze fukeba","Ide soyo hito o","Wasure ya wa suru"
Akazome Emon,"Yasurawade","Nenamashi mono o","Sayo fukete","Katabuku made no","Tsuki o mishi kana"
Koshikibu no Naishi,"Oeyama","Ikuno no michi no","To kereba","Mada fumi mo mizu","Ama no Hashidate"
Ise no Osuke,"Inishie no","Nara no miyako no","Yae-zakura","Kyo kokonoe ni","Nioi nuru kana"
Sei Shonagon,"Yo o komete","Tori no sorane wa","Hakaru tomo","Yo ni Osaka no","Seki wa yurusaji"
Sakyo no Daibu Michimasa,"Ima wa tada","Omoi taenan","To bakari wo","Hito-zute nara de","Iu yoshi mo gana"
GonChunagon Sadayori,"Asaborake","Uji no kawagiri","Tae-dae ni","Araware wataru","Zeze no ajirogi"
Sagami,"Urami wabi","Hosanu sode da ni","Aru mono o","Koi ni kuchinan","Na koso oshi kere"
Daisojo Gyoson,"Morotomo ni","Aware to omoe","Yama-zakura","Hana yori hoka ni","Shiru hito mo nashi"
Suo no Naishi,"Haru no yo no","Yume bakari naru","Tamakura ni","Kainaku tatan","Na koso oshi kere"
Sanjo In,"Kokoro ni mo","Arade ukiyo ni","Nagaraeba","Koishikaru beki","Yowa no tsuki kana"
Noin Hoshi,"Arashi fuku","Mimuro no yama no","Momijiba wa","Tatsuta no kawa no","Nishiki nari keri"
Ryosen Hoshi,"Sabishisa ni","Yado o tachi idete","Nagamureba","Izuko mo onaji","Aki no yugure"
